cell_line,53BP1,ADAR1,AR,ASNS,ATM,CD31,CDK1,EGFR,FASN,G6PD,GATA3,HER2,HER3,IGFBP2,INPP4B,IRS1,JAK2,MEK1,MSH2,MYH11,PDK1,PEA15,PR,PRDX1,PREX1,PTEN,RAD51,RBM15,SCD1,SF2,TAZ,TFRC,TIGAR,TTF1,VEGFR2
KURAMOCHI,0.18668442234898952,0.0,0.0,-0.3026415607752531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021010386971231865,0.0,0.0,0.0,0.0,0.0,0.02350149401782193,0.0,0.06236052846499469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0890988232544131,0.0,-0.03124842762404536,0.0,-0.04139571446899635,-0.03241372843125227,-0.08209252736016699
SW1088,0.04499801719551179,0.0,0.0,-0.024370888440462684,0.0,0.0,0.0,0.0,0.0,0.0,-0.01164485285523953,-0.038113679605475036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010148122337804611,0.0,0.0,0.0,-0.01953768143309046,-0.2059894254669259,0.0,-0.03417433299307632,0.0,0.0,0.04464914548590283,-0.18205362675206693
MCF7,-0.03573622401464661,0.0,0.0,0.0,0.0,-0.06041662404912288,-0.004302148708603959,0.0,0.0,0.0,0.0,0.0,0.1956454618076962,0.0,0.0,0.0,0.0,-0.011343578011600202,0.0,0.0,0.0,0.007315535466954624,0.0,0.0,-0.30009498642492877,0.0,0.0,0.0,0.0,0.0,-0.056400017603586323,0.0,-0.0381800663044928,0.0,-0.09228835436070135
SW620,-0.05267707468326589,0.04801318253967246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009007311065360872,0.0,-0.05111260833505812,0.0,0.0,0.0,-0.0009531815752526775,0.0,0.0,0.02417284286493184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07387629727214425,0.0,-0.1671797155849793,0.0,-0.056239070446241844,0.0,-0.13150446128012142
SW48,0.305328497360921,0.0,0.005609446805152638,-0.11135747035946858,0.00692301617438112,0.0,0.0,0.0,0.0,0.0,0.0,0.028092189732802985,0.0502395777178161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017538684442135626,0.0,0.0,0.0,0.12058856147232512,0.0,-0.14098075344608113,0.0,0.0,0.0,-0.24452052313725764
RT4,0.0415686530975379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01991241388791656,-0.057501012138175996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053460148246163,0.012384459943461011,0.031808666431105206,-0.06905849499183953,0.0,-0.027441561629164595,0.02011033643164093,0.009358128624784023
KM12,0.0,0.0,0.0,0.0,0.004392128696765766,0.021188067396398617,0.0,0.0,0.0,0.0,0.0,0.0,0.028165068922271684,0.0,0.0,0.0,0.004642758821991179,0.0077375764834914295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05610324803750222,0.004578660957872753,0.0,0.0027850468536673167,0.09426996992824276,0.0,0.4009617053489718
LOXIMVI,0.0,0.0,0.0,0.0,-0.009937771564159618,0.03112936231175449,0.0,0.0,0.0,0.0,0.0,-0.11323012769614822,-0.06765805682803519,0.0,-0.0028708872557086664,0.0,0.0,0.0704954392423939,0.0,-0.0018390604394209517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0800786755519107,-0.026569131348814095,0.0,0.0,0.0,0.30111403657331826
HCC1500,-0.05387807483590966,0.0,0.0,0.0,0.0,0.0,-0.010886094377075172,-0.025214380923760736,0.0,0.0,0.0,0.0,0.14593110725260627,0.0,0.0,-0.017008121627607696,0.0,0.0,0.0,0.0,0.0,0.0,-0.021345960845956986,-0.020924282024335637,-0.17820014744020887,0.0,0.0,0.0,0.0,0.0,-0.12706335143179834,0.0,0.0,0.0,-0.1139615452684433
JURKAT,-0.0341518692671428,-0.006610159759618768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.039259476617880755,0.0,0.0,0.0,0.0,0.0,0.028452904629774622,-0.01906356634655031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07019934329255713,0.0,-0.15926978048038606,0.0,-0.037919072833265226,0.030015000935477536,-0.09309431869880744
