drug,gat_val_rmse,gat_test_rmse,gat_test_mae,mlp_val_rmse,mlp_test_rmse,mlp_test_mae,improvement_pct,train_samples,test_samples
Erlotinib,1.4472600221633911,1.648922085762024,1.4067116975784302,1.5494449138641357,1.5019841194152832,1.1827129125595093,-9.782924096690392,83,25
Lapatinib,1.8779516220092773,1.4140819311141968,1.1389864683151245,1.7915689945220947,1.4897085428237915,1.1901490688323975,5.076604552877303,85,25
Sorafenib,1.0635228157043457,1.0939538478851318,0.8378582000732422,1.1106237173080444,1.100225567817688,0.7948005199432373,0.5700394642706034,85,25
Paclitaxel,1.592262625694275,1.5308363437652588,1.3432339429855347,1.7707420587539673,1.7525159120559692,1.4861571788787842,12.649218575747275,85,25
