protein,mean,std
14-3-3_beta,0.020912081291759466,0.20509203320836272
14-3-3_epsilon_Caution,0.01726801113585746,0.19532529908849183
14-3-3_zeta,0.04570471603563474,0.43431722525872146
4E-BP1,0.01511905679287304,0.5560629339344901
4E-BP1_pS65,0.04694384855233853,0.5686074651117304
4E-BP1_pT37_T46,0.006790146993318494,0.6847212898161376
4E-BP1_pT70,0.01666717371937639,0.32627057820002175
53BP1,-0.03725792538975501,0.6863735705369403
A-Raf_pS299_Caution,0.05285441982182628,0.35054769931391855
ACC_pS79,0.024365508908685968,0.6948150611548416
ACC1_Caution,0.009404400890868607,0.7383131047068607
Acetyl-a-Tubulin (Lys40)_Caution,0.044507631403118045,0.6628766196648358
ACVRL1_Caution,0.022849412026726055,0.233144132273977
ADAR1,0.031816171492204906,0.3983371089202062
Akt,0.00023273608017817382,0.6746847273768175
Akt_pS473,0.320378293986637,1.3539765409868196
Akt_pT308,0.269798438752784,0.9511066931553971
alpha-Catenin,-0.04088538195991092,0.6015934350303341
AMPK_alpha_Caution,0.002084066815144768,0.3624098712807479
AMPK_pT172,-0.03462780957683742,0.67533341363116
Annexin 1,-0.05220823719376391,1.1930181647479703
Annexin_VII,0.02018556347438753,0.3970497514449317
AR,0.20884919933184856,0.6500655664441276
ASNS,-0.022721836302895322,0.9870904829685265
ATM,-0.0788198307349666,0.9090704106236823
B-Raf_Caution,0.0008152316258351908,0.689740646490699
B-Raf_pS445,0.010487346325167037,0.480471685430826
Bad_pS112,0.01636609242761693,0.24603776166419564
Bak_Caution,0.015523338530066816,0.2107323171692735
Bap1 c-4,-0.05295993541202672,0.4342920008238228
Bax,0.025108697104677058,0.5505571978033889
Bcl-2,0.31938307906458796,0.9854656516843534
Bcl-xL,0.03862044209354121,0.48109384026782687
Beclin_Caution,0.014917641425389757,0.19685292941876412
beta-Catenin,-0.45409225612472165,1.6431227628343936
beta-Catenin_pT41_S45,0.024100484409799554,0.2219330725266228
beta Actin_Caution,0.06364045100222716,0.8844638869672387
Bid_Caution,0.008827704899777283,0.185381456134251
Bim(CST2933),0.03403213585746102,1.0819188747057933
Bim(EP1036),0.09733151002227172,0.8189688225211275
BRCA2_Caution,0.02680704899777283,0.2534790424914116
c-Jun_pS73,0.05442476280623607,0.4005402783108879
c-Kit,0.41539357238307345,1.0986771232044428
c-Met_Caution,0.10429579398663698,0.5809805702577525
c-Met_pY1235,0.010207103563474387,0.1730404779567691
c-Myc_Caution,0.01703646993318486,0.5881970350784599
C-Raf(BD610151)_Caution,-0.02507149220489977,0.6218177572861908
C-Raf(MP05-739),-0.001502967706013353,0.4554446710198052
C-Raf_pS338,0.03570560356347439,0.21138147365607596
Caspase-7_cleavedD198_Caution,0.12271478841870825,0.6522477580576351
Caspase-8_Caution,0.0430954153674833,0.49124164381751306
Caveolin-1,0.01826183964365254,2.6866941792973895
CD20 _Caution,0.07996280512249444,0.43316266650023455
CD31,0.042333115812917606,0.326205361352146
CD49b,0.2156563574610245,0.9883668257040685
CDK1,0.10289345545657017,0.5257158558505769
Chk1_Caution,0.042643999999999994,0.5360096865198366
Chk1_pS345_Caution,0.06386887639198219,0.3100559928649595
Chk2,0.024167800668151433,0.5275483137820395
Chk2_pT68_Caution,0.03833604008908686,0.29685076901939833
cIAP_Caution,0.018132785077951002,0.27773691717726084
Claudin-7,0.9218403763919822,1.6816730137749845
Collagen_VI,0.0387624565701559,0.4035126833970752
Cyclin_B1,-0.01559130623608018,0.8217087145896097
